,Den norske matvaretabellen 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatvareID,Matvare,Spiselig del,Ref,Vann,Ref,Kilojoule,Ref,Kilokalorier,Ref,Fett,Ref,Mettet,Ref,C12:0,Ref,C14:0,Ref,C16:0,Ref,C18:0,Ref,Trans,Ref,Enumettet,Ref,C16:1 sum,Ref,C18:1 sum,Ref,Flerumettet,Ref,C18:2n-6,Ref,C18:3n-3,Ref,C20:3n-3,Ref,C20:3n-6,Ref,C20:4n-3,Ref,C20:4n-6,Ref,C20:5n-3 (EPA),Ref,C22:5n-3 (DPA),Ref,C22:6n-3 (DHA),Ref,Omega-3,Ref,Omega-6,Ref,Kolesterol,Ref,Karbohydrat,Ref,Stivelse,Ref,Mono+disakk,Ref,"Sukker, tilsatt",Ref,Kostfiber,Ref,Protein,Ref,Salt,Ref,Alkohol,Ref,Vitamin A,Ref,Retinol,Ref,Beta-karoten,Ref,Vitamin D,Ref,Vitamin E,Ref,Tiamin,Ref,Riboflavin,Ref,Niacin,Ref,Vitamin B6,Ref,Folat,Ref,Vitamin B12,Ref,Vitamin C,Ref,Kalsium,Ref,Jern,Ref,Natrium,Ref,Kalium,Ref,Magnesium,Ref,Sink,Ref,Selen,Ref,Kopper,Ref,Fosfor,Ref,Jod,Ref
,Forkortelser: M = manglende verdi. Ref = referanse,%,,g,,kJ,,kcal,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,mg,,g,,g,,g,,g,,g,,g,,g,,g,,RAE,,µg,,µg,,µg,,alfa-TE,,mg,,mg,,mg,,mg,,µg,,µg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,µg,,mg,,mg,,µg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Melk og melkeprodukter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Melk og melkebasert drikke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.013,"Geitmelk, langtidsholdbar",100,0,89,112a,254,61a,61,61b,3.6,112a,2.5,112a,0.1,112a,0.27,112a,1.06,112a,0.33,112a,0.1,112a,0.8,112a,0.04,112a,0.76,112a,0.1,112a,0.06,112a,0.02,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.02,112a,0.1,112a,11,112a,4,80,0,20,4,112a,0,20,0,50,3.1,112a,0.1,83,0,50,30,85,30,112a,3,112a,0,112a,0.1,111a,0.02,112a,0.09,112a,0.4,112a,0.06,108a,0,112a,0,112a,0,20,100,112a,0.1,112a,40,112a,200,112a,15,112a,0.3,112a,1,112a,0.13,112a,110,112a,48.6,325
1.272,"Helmelk, 3,5 % fett, laktosefri",100,0,89,112a,237,61a,57,61b,3.5,112a,2.1,112a,0.11,112a,0.35,112a,0.99,112a,0.36,112a,0.1,112a,0.9,112a,0.08,112a,0.71,112a,0.1,112a,0.05,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.02,112a,0.06,112a,10,112a,3,80,0,20,3,112a,0,20,0,50,3.3,112a,0.1,83,0,50,50,85,48,112a,20,112a,0,112a,0.1,112a,0.02,112a,0.06,112a,0.1,112a,0.03,112a,5,112a,0.6,112a,0,20,120,112a,0,112a,30,112a,160,112a,8,112a,0.3,112a,1,112a,0,112a,91,112a,15.7,325
1.001,"Helmelk, 3,5 % fett, Tine",100,0,88,112a,264,61a,63,61b,3.5,112a,2.3,112a,0.11,112a,0.35,112a,0.99,112a,0.36,112a,0.1,112a,0.9,112a,0.08,112a,0.71,112a,0.1,112a,0.05,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.02,112a,0.06,112a,10,112a,4.5,80,0,20,4.5,112a,0,20,0,50,3.4,112a,0.1,83,0,50,33,85,31,112a,20,112a,0,112a,0,112a,0.04,111a,0.15,112a,0,111a,0.04,111a,9,112a,0.6,112a,0,20,130,112a,0,111a,40,112a,171,112a,13,112a,0.4,111a,3,112a,0.02,111a,115,112a,14.8,325
