Butikk 🏪,Produsent 🏭,Matvare 🍲,Pris 💰,Vekt 🏋️,Rabatt 🆓,Pris / kg ✅,Pris / 2000 kcal ☀️
Kiwi,First Price,Appelsinjuice 🍊,12.8,2.0,0.01,,Appelsinjuice;100;88;43;0.2;9.6;0;0.7;0;
Kiwi,Møllerens,Hvetemel 👨‍🍳,18.9,2.0,0.01,,Hvetemel siktet;100;13;352;1.5;71.6;0;11.4;0;
Kiwi,First Price,Kneippbrød 🍞,7.9,0.75,0.01,,Brød grovt (50-75 %) kjøpt First Price kneipp;100;37;246;2.2;45.3;M;8.6;1.4;
Kiwi,Eldorado,Tomatbønner 🍆,4.7,0.41,0.01,,Tomatbønner hvite bønner i tomatsaus hermetisk;100;75;93;1.4;12.4;0.4;5.6;0.4;
Kiwi,First Price,Spaghetti 🍝,14.6,1.0,0.01,,Pasta naturell kokt;100;70;116;0.4;23.3;0;4;0;
Kiwi,Eldorado,Tomater Hakkede 🍅,5.8,0.39,0.01,,Tomat hakket tetrapak;100;93;24;0.2;4;0;0.8;0;
Kiwi,,Havregryn Lettkokte 👨‍🍳,18.9,1.2,0.01,,Havregryn lettkokte/store;100;6;389;7.8;63.1;0;11.4;0;
Kiwi,,Grønnsaker Amerikansk 🥗,12.9,0.8,0.01,,Erter gulrot mais fryst;100;81;64;0.5;9.9;0;3;0;
Kiwi,,Tomater Løsvekt 🍅,38.9,1.0,0.15,,Tomat uspesifisert rå;100;94;18;0.2;2.5;0;0.7;0;
Kiwi,First Price,Gulrot 🥕,19.9,1.0,0.15,,Gulrot uspesifisert rå;89;89;36;0.1;6.7;0;0.7;0.1;
Kiwi,,Nypotet 🥔,11.22,0.56,0.15,,Potet tidligpotet rå;83;80;54;0.1;11.2;0;1.5;0;
Kiwi,Eldorado,Kidneybønner 🍆,6.9,0.38,0.01,,Kidneybønner røde hermetiske;100;68;106;0.7;12.7;0;8.8;0.6;
Kiwi,First Price,Matolje 🛢️,36.8,2.0,0.01,,Rapsolje;100;0;892;99;0;0;0.2;0;
Kiwi,First Price,Pastasaus 🍝,9.8,0.5,0.01,,Tacosaus;100;90;27;0.1;4;M;1.9;1.6;
Kiwi,Eldorado,Rapsolje 🛢️,19.9,1.0,0.01,,Rapsolje;100;0;892;99;0;0;0.2;0;
Kiwi,Eldorado,Solsikkeolje 🛢️,19.9,1.0,0.01,,Solsikkeolje;100;0;883;98;0;0;0.2;0;
Kiwi,,Løk Gul 🥬,17.35,0.73,0.15,,Løk gul/rød norsk rå;93;88;32;0.1;5.7;0;1.1;0;
Kiwi,Eldorado,Sukker 👨‍🍳,20.9,1.0,0.01,,Sukker hvitt;100;0;400;0;100;100;0;0;
Kiwi,,Lapskausblanding 🥗,17.4,0.8,0.01,,Lapskausblanding;100;85;56;1.5;8.5;0;1.1;0.6;
Kiwi,First Price,Pommes Frites 🍟,26.7,1.2,0.01,,Pommes frites fryst;100;66;153;5.2;22;0;2.2;0;
Kiwi,First Price,Tacosaus 🥵,5.5,0.23,0.01,,Tacosaus;100;90;27;0.1;4;M;1.9;1.6;
Kiwi,First Price,Tortilla 🌯,7.9,0.32,0.01,,Tortilla maislefse;100;27;258;2.8;50.1;0;6.2;1.4;
Kiwi,First Price,Bordmargarin 🍯,9.9,0.4,0.01,,Margarin bordmargarin 80 % fett;100;17;724;80;0.5;0;0.5;1.1;
Kiwi,,Brokkolitopper 🥦,11.4,0.45,0.01,,Brokkoli fryst;100;91;27;0.3;1.9;0;2.8;0;
Kiwi,First Price,Fiskepinner 🐟,19.8,0.75,0.01,,Fiskepinner Findus;100;63;180;7.9;15.5;0;11.1;0.6;
Kiwi,First Price,Stekemargarin 🍯,13.9,0.5,0.01,,Margarin stekemargarin;100;12;769;85;0.5;0;0.5;2.2;
